80 500
1 4 34
1 13 24
1 16 13
1 17 27
1 26 35
1 31 38
1 51 20
1 57 19
1 65 24
1 68 46
1 70 31
1 73 46
1 76 37
2 17 9
2 24 27
2 26 36
2 33 39
2 37 2
2 39 19
2 43 47
2 54 46
2 59 16
2 65 28
2 66 2
2 67 48
2 70 34
2 78 35
3 16 46
3 18 13
3 29 20
3 42 9
3 46 49
3 53 26
3 65 4
3 67 23
3 77 42
4 10 11
4 17 2
4 21 14
4 22 34
4 28 1
4 31 5
4 34 8
4 38 9
4 48 27
4 54 37
4 57 13
4 63 41
4 70 33
4 79 42
5 16 37
5 31 17
5 35 40
5 37 26
5 39 39
5 42 4
5 43 45
5 45 33
5 48 50
5 50 47
5 55 25
5 60 26
5 72 21
5 74 2
6 24 5
6 27 28
6 40 16
6 43 9
6 47 40
6 49 1
6 52 11
6 54 25
6 56 19
6 62 45
6 66 28
6 70 19
6 76 13
7 9 47
7 12 1
7 18 2
7 19 45
7 27 40
7 29 31
7 33 44
7 39 6
7 42 33
7 45 10
7 46 15
7 48 38
7 49 32
7 50 7
7 54 42
7 56 34
7 62 2
7 69 39
7 71 27
7 75 10
7 78 27
8 9 12
8 18 40
8 22 32
8 23 23
8 31 30
8 32 40
8 36 8
8 40 43
8 41 35
8 55 18
8 58 22
8 69 41
9 10 13
9 12 17
9 27 41
9 54 38
9 56 46
9 57 31
9 58 7
9 75 5
9 80 8
10 13 43
10 14 21
10 16 1
10 21 39
10 25 9
10 30 27
10 32 42
10 43 6
10 47 9
10 54 31
10 56 48
10 62 43
10 68 44
11 22 36
11 23 45
11 30 7
11 31 38
11 39 25
11 54 4
11 63 18
11 64 41
11 67 48
11 70 6
11 72 33
11 78 28
11 79 38
12 23 45
12 44 48
12 47 27
12 50 16
12 60 21
12 61 25
12 62 16
12 71 47
12 72 28
12 74 26
13 14 11
13 18 2
13 24 46
13 25 7
13 39 35
13 46 4
13 47 31
13 50 35
13 51 28
13 60 44
13 61 10
13 65 11
13 77 12
13 79 36
14 23 40
14 24 18
14 30 28
14 52 14
14 54 6
14 58 20
14 71 30
14 74 16
14 79 5
15 17 42
15 28 16
15 38 18
15 39 29
15 45 35
15 46 49
15 52 17
15 54 4
15 64 4
15 75 23
15 78 6
16 27 31
16 33 33
16 35 37
16 40 35
16 43 31
16 52 37
16 61 44
16 64 23
16 80 19
17 20 8
17 22 15
17 30 28
17 32 29
17 36 18
17 42 50
17 44 1
17 55 25
17 60 14
17 64 48
17 65 13
17 69 22
18 35 28
18 52 17
18 53 20
18 55 4
18 71 16
18 79 42
19 21 27
19 25 13
19 30 22
19 32 27
19 39 20
19 42 6
19 58 3
19 61 3
19 66 42
19 68 29
20 31 6
20 36 23
20 48 8
20 52 6
20 53 30
20 58 24
20 63 15
20 72 37
20 80 36
21 24 41
21 26 15
21 28 24
21 33 45
21 34 33
21 35 25
21 38 42
21 44 15
21 55 37
21 78 4
22 23 46
22 26 1
22 27 46
22 31 5
22 34 38
22 35 14
22 36 49
22 41 31
22 42 38
22 48 46
22 54 8
22 61 42
22 63 38
22 76 42
23 25 40
23 26 38
23 30 6
23 33 36
23 36 42
23 39 14
23 55 21
23 66 45
23 68 43
23 71 34
23 78 35
24 43 49
24 49 42
24 54 24
24 61 35
24 75 25
24 80 49
25 28 46
25 40 9
25 46 14
25 55 49
25 60 40
25 61 27
25 62 22
25 63 43
26 52 2
26 63 18
26 71 12
26 73 22
26 74 19
27 41 7
27 46 50
27 50 42
27 69 44
27 78 44
28 36 5
28 38 22
28 47 16
28 51 21
28 55 37
28 58 33
28 61 34
28 72 37
29 31 20
29 34 35
29 42 19
29 55 37
29 61 20
29 64 25
29 65 33
29 73 42
29 76 8
29 79 24
30 38 43
30 44 9
30 50 39
30 64 48
30 65 27
30 67 13
31 33 2
31 36 38
31 46 46
31 52 14
31 54 17
