73 200
1 34 19
1 55 21
1 58 42
1 66 10
1 67 10
1 69 31
2 13 24
2 30 36
2 37 30
3 31 22
3 40 43
3 56 8
4 7 3
4 19 28
4 30 34
4 50 15
5 23 7
5 30 10
5 52 23
5 57 5
6 38 30
6 41 2
6 55 3
6 67 46
7 23 14
7 27 46
8 11 42
8 19 20
8 23 17
8 30 28
8 36 41
8 41 30
8 52 29
9 14 25
9 21 40
9 33 3
9 49 50
10 18 14
11 13 42
11 26 7
11 27 20
11 64 8
12 21 19
12 31 8
12 36 48
12 38 40
12 43 27
12 46 37
13 28 33
13 39 11
13 55 41
14 45 45
14 55 46
14 61 30
14 66 49
15 25 12
15 38 41
15 57 22
15 63 13
15 67 2
15 69 2
16 20 47
16 34 11
16 38 11
16 40 17
16 49 42
16 55 47
16 58 39
16 62 20
17 22 4
17 41 17
17 55 48
17 72 8
18 57 11
18 61 23
18 70 45
19 21 6
19 28 24
19 50 22
19 56 1
20 38 5
21 39 4
21 59 36
21 61 17
21 65 28
22 31 47
22 48 38
22 52 7
22 61 47
22 73 44
23 34 23
23 47 9
23 48 12
24 49 48
24 57 34
24 65 22
24 70 18
25 37 47
25 40 39
25 43 24
25 54 35
25 66 33
25 69 7
26 38 24
26 41 2
26 50 44
26 68 20
26 70 29
27 30 35
27 31 49
27 46 40
27 48 48
27 53 25
27 54 39
28 37 47
28 50 27
28 55 30
29 48 31
29 61 3
29 70 25
30 51 9
30 64 35
31 47 36
31 49 31
32 63 41
33 45 7
33 46 44
33 47 27
33 49 28
33 52 38
33 58 50
33 66 14
34 39 27
34 40 37
34 55 28
34 62 1
34 68 26
34 73 48
35 38 5
35 47 46
36 37 35
36 47 15
36 67 16
37 45 8
37 61 32
39 47 12
39 50 14
39 56 23
39 63 7
39 71 22
40 42 37
40 55 28
40 58 25
41 58 11
41 63 13
41 68 23
42 51 4
43 68 27
44 69 41
44 73 49
45 47 24
45 49 30
46 68 30
46 71 39
47 52 6
48 63 20
48 69 23
48 71 47
49 53 36
49 56 32
49 63 33
49 67 3
50 60 46
50 61 11
50 64 30
51 57 47
51 60 33
51 66 42
52 57 42
52 58 43
52 67 24
53 62 39
53 69 7
53 72 32
54 60 48
54 61 14
54 71 1
56 65 15
56 70 1
56 71 1
58 61 29
59 69 44
60 70 35
61 67 31
62 73 16
63 66 27
64 66 20
65 69 16
68 69 26
71 72 35
10
42 51 21 15 10 40 50 63 14 5 
