49 100
1 11 36
1 16 32
1 20 15
1 31 26
1 34 22
1 36 8
1 38 31
2 7 28
2 11 31
2 38 46
2 45 23
2 46 10
3 17 33
3 31 35
4 29 46
4 39 28
5 9 16
5 26 19
6 8 1
6 10 50
6 11 39
6 13 49
6 18 50
7 14 18
8 25 30
8 31 50
8 46 22
9 12 31
9 27 34
9 32 18
9 34 14
9 35 28
10 15 8
11 13 27
11 20 40
11 26 3
11 29 33
11 30 31
11 42 9
11 49 41
13 35 2
13 37 26
14 18 12
14 21 13
14 25 4
14 26 32
14 31 20
14 33 4
14 35 25
14 37 49
15 21 4
15 32 46
15 34 34
15 35 48
15 38 5
15 40 18
15 41 29
15 45 14
16 34 47
18 37 32
18 46 5
19 25 37
19 29 39
19 37 25
19 41 9
19 49 27
20 28 3
20 37 21
20 38 6
20 44 43
21 26 7
21 28 43
22 24 11
22 36 33
22 43 8
22 48 17
23 33 46
23 48 32
24 25 32
24 44 36
25 27 14
25 33 11
27 43 34
27 45 44
28 30 21
28 46 30
29 32 23
32 39 6
32 44 1
33 38 50
33 47 15
34 38 20
34 40 19
35 40 16
36 40 19
36 41 37
37 46 2
38 46 26
38 49 44
42 46 1
10
20 5 17 1 41 27 33 23 21 15 
