73 200
1 15 1
1 46 27
1 60 23
1 62 40
1 67 35
2 41 21
3 5 41
3 23 12
4 46 47
4 55 27
5 3 42
5 19 49
5 26 28
5 50 45
6 41 33
6 72 31
6 73 46
7 8 4
7 35 24
7 59 7
8 7 5
8 32 40
9 20 38
9 29 21
10 22 14
10 32 37
11 13 29
11 69 16
12 18 12
13 11 1
13 16 33
13 70 28
14 55 37
14 70 33
15 1 9
15 50 9
16 13 45
16 18 5
16 33 9
16 35 33
16 68 50
17 27 19
17 39 1
17 40 3
17 45 30
18 12 36
18 16 15
19 5 34
19 30 7
19 63 48
20 9 46
20 60 16
21 34 19
21 43 32
22 10 28
22 36 31
22 37 25
23 3 28
23 39 9
23 54 11
24 42 17
25 51 6
25 70 27
26 5 48
26 42 13
26 49 29
26 64 49
27 17 29
27 43 19
27 46 44
27 58 21
27 70 12
27 73 47
28 42 3
29 9 27
29 48 5
30 19 4
31 36 22
31 41 50
31 50 41
32 8 3
32 10 40
32 38 32
33 16 44
33 61 40
33 62 12
34 21 4
34 63 30
35 7 28
35 16 3
35 47 4
35 48 19
35 51 4
36 22 41
36 31 8
36 57 24
36 69 23
36 73 45
37 22 9
37 52 12
37 66 24
38 32 15
38 70 8
39 17 6
39 23 7
39 45 31
39 50 39
39 56 43
40 17 10
40 44 17
40 45 11
41 2 3
41 6 33
41 31 45
41 65 7
42 24 1
42 26 27
42 28 13
43 21 12
43 27 49
43 62 48
43 64 36
43 67 17
44 40 18
44 53 42
45 17 49
45 39 28
45 40 6
45 68 35
45 70 17
46 1 41
46 4 12
46 27 1
46 62 19
47 35 7
48 29 6
48 35 47
49 26 4
49 54 36
50 5 39
50 15 22
50 31 5
50 39 22
51 25 43
51 35 30
51 53 26
52 37 1
53 44 46
53 51 13
54 23 26
54 49 32
55 4 15
55 14 25
55 69 16
55 71 27
56 39 44
57 36 46
57 66 50
58 27 48
58 63 32
58 69 33
59 7 33
60 1 45
60 20 40
61 33 17
61 62 39
61 72 20
62 1 5
62 33 30
62 43 12
62 46 32
62 61 14
63 19 24
63 34 15
63 58 16
64 26 43
64 43 27
65 41 18
66 37 12
66 57 31
67 1 29
67 43 48
68 16 17
68 45 46
69 11 25
69 36 20
69 55 18
69 58 10
70 13 29
70 14 23
70 25 14
70 27 19
70 38 35
70 45 44
71 55 26
72 6 13
72 61 19
73 6 45
73 27 45
73 36 49
11
35 36 65 75 48 78 23 29 15 21 65 
