99 300
1 22 32
2 6 36
2 19 41
2 26 27
2 34 24
2 86 12
2 93 33
2 94 8
3 11 10
3 16 36
3 82 18
3 91 3
4 17 38
4 22 34
4 31 5
4 42 49
4 55 6
4 59 36
4 67 11
4 99 6
5 13 3
5 21 2
5 22 16
5 62 4
5 67 8
5 90 42
5 96 17
6 12 6
6 39 6
6 45 25
6 69 20
6 74 26
6 75 45
6 84 37
7 10 18
7 11 35
7 25 15
7 42 12
7 64 14
7 98 50
8 13 12
8 52 5
8 55 1
8 60 7
8 64 43
8 76 25
8 82 38
8 95 48
8 98 24
9 10 22
9 18 8
9 22 10
9 65 10
10 19 13
10 33 4
10 52 16
10 63 10
10 78 38
10 85 46
10 93 32
11 33 39
11 49 50
11 62 46
12 48 5
12 64 11
12 69 16
12 82 48
13 41 2
13 52 15
13 65 16
13 68 11
14 19 15
14 53 19
14 65 40
14 71 17
14 78 48
14 80 10
14 86 3
15 21 21
15 81 38
15 90 42
16 20 8
16 25 11
16 52 19
16 88 17
16 98 23
17 26 32
17 66 24
17 80 1
17 81 50
18 25 6
18 94 33
18 99 27
19 32 23
19 51 18
19 56 5
19 72 25
19 79 35
19 85 24
19 88 38
20 38 7
20 44 22
20 53 46
21 44 22
21 65 14
21 87 7
21 91 30
21 97 35
22 26 9
22 36 19
22 43 33
23 56 30
23 72 35
23 73 40
23 86 12
24 42 33
24 61 34
24 66 33
24 77 48
24 99 24
25 35 39
25 56 35
25 57 9
25 71 43
26 27 22
26 28 19
26 52 21
26 61 10
26 77 6
26 83 7
26 89 35
27 29 29
27 33 17
27 37 17
27 50 41
27 69 9
27 87 21
28 31 9
28 44 2
28 59 15
28 89 38
29 53 18
29 81 13
30 44 11
30 58 17
30 71 32
30 73 2
30 85 5
31 56 37
31 57 11
31 67 43
31 88 38
31 99 46
32 37 24
32 51 16
32 54 48
32 57 11
32 63 42
32 64 1
32 77 35
32 93 29
33 83 24
33 87 38
33 88 14
34 35 43
34 73 12
34 79 16
34 84 42
35 71 2
35 78 17
35 88 23
35 91 28
36 82 6
36 97 36
36 99 13
37 42 43
37 81 21
38 39 22
38 45 7
38 47 16
38 80 48
38 90 45
39 47 4
39 64 36
39 68 32
40 63 39
40 64 14
40 73 31
40 78 20
40 89 37
41 48 19
41 59 18
41 64 10
41 74 9
41 89 35
42 80 26
42 81 29
42 92 31
43 49 33
43 61 30
43 83 23
43 99 40
44 66 38
44 70 6
44 72 33
44 88 25
45 48 44
46 86 32
46 99 27
47 79 25
47 98 37
48 61 47
48 93 30
49 52 46
49 65 11
49 66 41
49 86 39
49 93 10
50 58 21
50 73 27
50 79 36
50 83 24
51 57 17
51 64 49
51 68 10
51 69 45
51 79 20
51 81 33
51 88 31
51 96 30
51 98 38
52 55 21
52 79 2
52 84 1
53 67 34
53 95 22
54 80 42
54 90 37
55 74 4
55 82 46
55 97 43
55 98 44
56 59 45
56 63 40
56 67 42
56 85 31
56 90 36
56 98 29
57 69 46
58 64 6
58 70 30
58 89 33
59 61 16
59 65 4
59 69 14
59 76 14
59 83 17
59 85 9
60 63 47
60 68 47
60 84 3
60 85 2
60 91 41
61 89 33
61 98 37
62 67 29
62 84 6
63 70 40
63 87 33
65 86 48
66 69 2
67 95 35
67 98 7
68 72 26
68 82 7
68 83 19
68 91 10
69 74 35
69 79 9
71 75 5
71 86 1
71 87 35
72 74 4
72 85 31
72 88 47
73 86 31
73 89 44
77 92 38
78 87 18
78 90 14
79 83 42
79 89 26
80 97 31
81 85 45
82 87 8
83 96 1
84 95 37
85 88 28
88 95 46
97 99 33
12
4 64 14 84 71 57 40 91 96 89 22 85 
