99 300
1 41 44
1 56 39
1 75 45
1 81 25
1 84 34
2 5 11
2 38 5
2 41 46
2 44 7
2 66 24
2 74 39
3 50 43
3 71 10
3 91 50
4 23 28
4 90 24
5 10 15
5 14 23
5 37 38
5 58 41
6 16 26
6 46 39
6 71 9
6 85 47
7 35 20
7 47 42
7 57 44
7 58 10
7 59 36
7 86 1
8 22 33
8 27 40
8 38 21
8 39 40
8 48 13
8 98 8
9 21 38
9 34 35
9 43 14
9 64 46
9 79 47
9 96 44
9 99 25
10 12 20
10 20 42
10 24 22
10 51 7
10 60 38
10 75 27
10 79 22
11 40 20
11 68 1
11 69 32
11 70 31
11 94 9
12 27 49
12 38 16
12 46 18
12 55 7
12 67 14
12 76 9
12 84 49
13 45 4
13 49 36
13 50 16
13 57 8
13 77 40
14 17 41
14 18 12
14 20 23
14 24 3
14 44 19
14 53 11
14 63 43
14 82 26
14 88 30
14 89 6
15 66 10
15 69 19
15 82 36
15 91 46
15 94 17
16 30 14
16 38 9
16 40 21
16 56 24
16 57 17
16 61 42
16 81 7
16 86 40
16 91 4
16 94 47
17 18 3
17 50 37
17 66 43
17 92 50
17 98 25
18 21 29
18 37 33
18 62 13
18 67 30
18 76 28
18 81 4
18 97 46
19 34 7
19 47 18
19 95 4
20 24 32
20 27 14
20 71 25
21 38 19
21 74 17
21 96 21
22 77 41
23 32 6
23 54 6
23 67 30
23 89 6
24 45 49
24 51 40
24 77 29
24 92 5
24 93 40
24 96 11
25 44 17
25 45 4
25 47 33
25 49 15
25 58 44
25 62 44
25 73 12
25 91 2
26 37 48
26 56 16
26 69 43
27 48 18
27 49 39
27 80 13
27 81 50
27 96 50
28 46 2
28 64 17
28 79 39
28 89 24
29 46 28
29 50 33
29 80 34
29 92 27
30 42 47
30 50 21
30 91 39
30 98 34
30 99 42
31 49 44
31 60 21
31 66 7
31 69 48
31 85 22
31 90 42
33 38 17
33 54 30
33 71 40
33 81 32
33 95 44
33 98 15
34 92 26
36 63 23
36 83 8
36 93 50
36 99 17
37 62 17
37 94 50
38 73 47
38 78 43
38 80 28
38 87 19
38 91 49
39 98 49
40 64 7
40 95 22
41 44 26
41 52 22
41 67 36
41 78 3
41 99 4
42 63 42
42 76 30
42 83 40
42 92 3
43 53 16
43 69 39
43 81 33
43 88 9
44 52 39
44 72 21
44 75 14
44 85 7
45 78 39
45 96 14
46 52 39
46 73 4
46 77 9
47 50 46
47 58 37
47 95 34
47 98 29
48 59 8
49 52 11
49 56 26
49 58 43
49 73 14
49 78 38
49 82 49
49 97 42
50 77 37
50 86 31
50 89 4
50 94 4
51 55 46
51 76 35
51 82 48
51 87 45
52 70 18
52 84 48
52 85 50
53 59 18
53 66 26
53 75 45
53 80 48
54 79 31
54 86 17
55 67 28
55 79 47
56 66 30
56 71 43
56 74 44
56 92 22
56 94 22
57 61 27
57 64 50
57 70 16
57 96 46
58 69 9
58 80 21
58 85 48
58 95 32
59 68 36
59 75 7
59 84 34
59 91 43
60 70 40
60 77 6
60 92 14
61 76 32
62 80 8
62 92 6
63 76 7
63 91 50
63 93 8
64 67 39
64 83 36
65 81 14
67 91 43
67 98 41
68 70 9
69 89 14
69 95 19
69 98 7
70 86 21
70 98 18
71 93 20
72 92 45
72 98 16
73 80 10
73 87 29
73 95 13
74 83 33
75 82 44
75 83 37
76 96 15
76 99 10
77 87 16
77 90 22
78 79 28
79 80 20
79 82 38
79 85 43
79 97 22
80 84 36
80 85 38
80 87 31
80 89 11
80 96 33
81 91 46
85 88 45
85 90 4
85 99 18
87 88 20
87 94 45
96 97 12
11
64 24 10 70 48 3 35 12 66 25 80 
