80 120
 1 7 200
 1 26 200
 1 30 198
 1 47 206
 1 56 198
 1 63 209
 1 64 196
 1 67 193
 2 41 203
 3 56 204
 3 61 199
 3 70 209
 4 40 204
 5 7 204
 5 62 200
 5 68 198
 6 11 198
 6 14 201
 6 20 206
 6 30 202
 6 56 190
 6 71 208
 7 8 99
 7 12 102
 7 14 93
 7 21 102
 7 30 98
 7 39 96
 7 49 99
 7 78 105
 7 79 92
 8 26 103
 8 33 101
 8 42 102
 8 78 106
 9 35 109
 9 54 95
 10 66 92
 10 70 92
 10 71 106
 11 62 96
 11 65 110
 11 71 107
 11 72 94
 12 14 98
 13 63 97
 13 73 97
 14 45 92
 14 52 105
 14 62 108
 15 57 107
 15 73 97
 16 38 103
 16 75 104
 17 67 95
 18 62 99
 19 47 96
 19 56 102
 20 44 93
 20 59 103
 20 61 97
 21 70 96
 22 52 98
 22 79 94
 23 28 110
 23 30 102
 23 61 98
 24 53 101
 24 58 96
 25 40 96
 26 53 106
 26 68 105
 26 69 107
 26 80 101
 27 40 101
 28 51 100
 28 67 100
 29 75 108
 29 78 106
 31 48 96
 32 55 100
 32 66 84
 34 53 99
 34 64 102
 35 56 95
 35 74 102
 36 41 103
 36 67 108
 36 77 100
 37 79 98
 38 44 111
 38 47 97
 38 49 109
 39 74 96
 40 46 102
 40 56 105
 41 43 103
 41 61 100
 42 48 98
 42 49 100
 42 65 99
 42 72 105
 43 50 95
 43 55 101
 43 56 102
 43 64 106
 44 58 98
 45 66 90
 45 69 103
 46 67 96
 47 57 98
 51 61 98
 53 60 101
 59 67 102
 59 76 103
 60 74 106
 62 70 107
 65 76 104
 70 76 101
 73 77 104
	6
	1 2 3 4 5 6
