80 632
 1 2 295
 1 12 300
 1 14 298
 1 15 300
 1 17 297
 1 18 299
 1 19 293
 1 21 187
 1 26 202
 1 32 197
 1 33 197
 1 43 196
 1 47 196
 1 48 211
 1 49 201
 1 53 198
 1 59 193
 1 60 206
 1 61 201
 1 62 199
 1 64 193
 1 70 203
 1 76 201
 2 3 305
 2 6 305
 2 11 293
 2 15 295
 2 16 304
 2 31 211
 2 37 207
 2 42 204
 2 45 195
 2 51 200
 2 52 201
 2 56 199
 2 58 204
 2 71 197
 3 17 298
 3 19 299
 3 23 199
 3 24 202
 3 26 196
 3 29 199
 3 34 188
 3 48 202
 3 59 194
 3 67 199
 4 22 204
 4 26 201
 4 27 206
 4 28 197
 4 30 197
 4 31 203
 4 32 202
 4 33 199
 4 34 209
 4 38 201
 4 39 201
 4 54 197
 4 57 206
 4 70 196
 4 79 200
 5 10 303
 5 11 298
 5 14 301
 5 15 310
 5 16 291
 5 20 302
 5 27 201
 5 33 199
 5 37 200
 5 46 194
 5 51 196
 5 59 192
 5 62 198
 5 64 195
 5 67 189
 5 68 205
 5 72 206
 5 73 195
 5 75 193
 6 12 304
 6 15 298
 6 20 292
 6 24 191
 6 35 203
 6 37 196
 6 45 201
 6 52 192
 6 54 197
 6 63 195
 6 65 188
 6 67 190
 6 71 203
 6 72 207
 6 77 216
 6 80 195
 7 17 296
 7 19 305
 7 28 193
 7 30 197
 7 31 196
 7 34 193
 7 41 198
 7 45 204
 7 52 197
 7 54 198
 7 55 196
 7 66 193
 7 73 202
 7 74 195
 7 77 203
 7 79 201
 7 80 206
 8 10 298
 8 17 310
 8 21 197
 8 22 199
 8 31 203
 8 50 209
 8 52 206
 8 57 197
 8 65 205
 8 72 206
 8 73 203
 8 75 194
 9 10 305
 9 14 302
 9 21 202
 9 25 189
 9 36 198
 9 40 192
 9 42 196
 9 46 204
 9 54 190
 9 55 209
 9 56 188
 9 60 202
 9 74 209
 9 78 200
 10 11 294
 10 13 297
 10 22 197
 10 23 190
 10 24 200
 10 27 199
 10 33 203
 10 34 196
 10 38 206
 10 39 205
 10 48 195
 10 51 198
 10 55 209
 10 57 195
 10 59 196
 10 60 198
 10 66 200
 10 68 204
 10 71 189
 11 16 301
 11 24 193
 11 29 194
 11 34 199
 11 36 198
 11 43 203
 11 51 197
 11 53 201
 11 66 200
 11 74 198
 11 75 198
 11 76 204
 11 80 204
 12 13 299
 12 14 300
 12 20 292
 12 23 199
 12 25 198
 12 28 203
 12 45 194
 12 47 196
 12 49 201
 12 50 193
 12 51 191
 12 52 198
 12 54 203
 12 60 191
 12 61 203
 12 68 192
 12 73 198
 12 76 200
 13 17 295
 13 18 294
 13 19 303
 13 21 199
 13 30 202
 13 37 198
 13 39 209
 13 41 202
 13 46 200
 13 48 207
 13 56 198
 13 62 203
 13 67 204
 14 16 293
 14 18 302
 14 21 198
 14 25 207
 14 26 205
 14 37 199
 14 43 203
 14 54 195
 14 57 206
 14 61 202
 14 62 199
 14 63 199
 14 64 198
 14 66 198
 14 74 206
 14 75 199
 15 17 293
 15 23 197
 15 24 204
 15 32 188
 15 42 200
 15 44 192
 15 49 202
 15 62 203
 15 65 200
 15 71 200
 15 73 203
 15 74 202
 15 75 198
 15 77 204
 16 21 201
 16 25 204
 16 26 206
 16 27 202
 16 31 201
 16 39 203
 16 40 199
 16 46 200
 16 51 199
 16 53 205
 16 54 206
 16 64 205
 16 66 207
 16 68 199
 16 71 198
 17 19 299
 17 29 206
 17 30 200
 17 32 197
 17 62 200
 17 66 199
 18 20 301
 18 23 200
 18 25 200
 18 29 204
 18 32 205
 18 34 204
 18 35 190
 18 37 201
 18 38 201
 18 41 199
 18 47 200
 18 54 202
 18 56 188
 18 60 202
 18 63 198
 18 65 200
 18 67 200
 18 73 201
 18 75 204
 18 76 203
 18 78 196
 19 25 205
 19 46 194
 19 49 202
 19 54 191
 19 55 199
 19 56 191
 19 66 197
 19 68 206
 19 71 194
 19 72 201
 19 80 200
 20 31 198
 20 33 195
 20 35 204
 20 39 196
 20 42 205
 20 47 204
 20 48 197
 20 51 198
 20 53 204
 20 63 193
 20 64 201
 21 33 98
 21 34 109
 21 40 108
 21 45 97
 21 62 107
 21 64 107
 21 74 93
 21 76 104
 21 78 98
 21 80 98
 22 38 100
 22 44 90
 22 45 103
 22 51 99
 22 56 94
 22 57 90
 22 59 96
 22 60 100
 22 61 102
 22 65 91
 22 69 104
 22 74 104
 23 27 98
 23 31 103
 23 39 102
 23 40 104
 23 45 98
 23 49 102
 23 54 100
 23 56 101
 23 62 104
 23 64 106
 23 65 102
 23 74 102
 23 75 96
 23 76 103
 23 80 106
 24 26 98
 24 29 93
 24 34 101
 24 36 95
 24 39 97
 24 45 102
 24 47 103
 24 50 93
 24 54 96
 24 55 94
